frame	nonbackground_ratio
frame_002.png	0.047413
frame_006.png	0.158368
frame_010.png	0.200990
frame_014.png	0.213385
frame_018.png	0.217708
frame_022.png	0.124948
frame_026.png	0.168872
frame_030.png	0.173038
frame_034.png	0.170330
frame_038.png	0.158056
frame_042.png	0.183073
frame_046.png	0.177257
frame_050.png	0.160295
frame_054.png	0.134722
frame_058.png	0.158906
frame_062.png	0.159809
frame_066.png	0.142847
frame_070.png	0.120365
frame_074.png	0.175330
frame_078.png	0.138698
frame_082.png	0.177552
frame_086.png	0.162222
frame_090.png	0.161736
frame_096.png	0.068802
